localfocus_id,marple_id,label
All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),NACE: A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)
"Agriculture, forestry and fishing",NACE: A,"Agriculture, forestry and fishing"
"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",NACE: B-S,"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)"
Business economy,NACE: B-N,Business economy
Industry and construction,NACE: B-F,Industry and construction
Industry (except construction),NACE: B-E,Industry (except construction)
Mining and quarrying,NACE: B,Mining and quarrying
Manufacturing,NACE: C,Manufacturing
"Electricity, gas, steam and air conditioning supply",NACE: D,"Electricity, gas, steam and air conditioning supply"
"Water supply; sewerage, waste management and remediation activities",NACE: E,"Water supply; sewerage, waste management and remediation activities"
Construction,NACE: F,Construction
Services of the business economy,NACE: G-N,Services of the business economy
"Wholesale and retail trade, transport, accomodation and food service activities",NACE: G-I,"Wholesale and retail trade, transport, accomodation and food service activities"
Wholesale and retail trade; repair of motor vehicles and motorcycles,NACE: G,Wholesale and retail trade; repair of motor vehicles and motorcycles
Transportation and storage,NACE: H,Transportation and storage
Accommodation and food service activities,NACE: I,Accommodation and food service activities
Information and communication,NACE: J,Information and communication
Financial and insurance activities,NACE: K,Financial and insurance activities
Real estate activities,NACE: L,Real estate activities
"Professional, scientific and technical activities; administrative and support service activities",NACE: M-N,"Professional, scientific and technical activities; administrative and support service activities"
"Professional, scientific and technical activities",NACE: M,"Professional, scientific and technical activities"
Administrative and support service activities,NACE: N,Administrative and support service activities
"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities",NACE: O-S,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities"
"Public administration, defence, education, human health and social work activities",NACE: O-Q,"Public administration, defence, education, human health and social work activities"
Public administration and defence; compulsory social security,NACE: O,Public administration and defence; compulsory social security
Education,NACE: P,Education
Human health and social work activities,NACE: Q,Human health and social work activities
"Arts, entertainment and recreation; other service activities",NACE: R-S,"Arts, entertainment and recreation; other service activities"
"Arts, entertainment and recreation",NACE: R,"Arts, entertainment and recreation"
Other service activities,NACE: S,Other service activities
